"date","close_amt","moving_average_close","open_amt","moving_average_open","low_amt","moving_average_low","high_amt","moving_average_high"
"2019-11-20","31353.85","30898.980000000000","31292.35","30817.100000000000","31205.55","30637.490000000000","31471.65","31096.035000000000"
"2019-11-21","31349.95","30973.015000000000","31413.25","30935.905000000000","31243","30760.425000000000","31463.15","31172.450000000000"
"2019-11-22","31111.6","31020.860000000000","31389.6","31002.605000000000","31055.2","30819.690000000000","31394.2","31229.735000000000"
"2019-11-25","31555.9","31101.510000000000","31065.1","31051.985000000000","31049.75","30874.260000000000","31591.6","31278.055000000000"
"2019-11-26","31718.35","31161.790000000000","31692.85","31154.805000000000","31465.85","30958.265000000000","31850.35","31342.570000000000"
"2019-11-27","31875.95","31295.230000000000","31832.75","31229.605000000000","31734.5","31082.905000000000","31916.8","31414.400000000000"
"2019-11-28","32122.95","31432.530000000000","31981.7","31366.195000000000","31905.9","31239.660000000000","32157.05","31551.185000000000"
"2019-11-29","31946.1","31526.300000000000","32074.15","31482.370000000000","31770.8","31330.670000000000","32086.95","31643.335000000000"
"2019-12-02","31871.45","31614.235000000000","32008.3","31579.520000000000","31720.6","31412.545000000000","32024.1","31725.390000000000"
"2019-12-03","31613.35","31651.945000000000","31920.1","31667.015000000000","31502.95","31465.410000000000","31936.6","31789.245000000000"
"2019-12-04","31979.3","31714.490000000000","31549.3","31692.710000000000","31444","31489.255000000000","32017.75","31843.855000000000"
